Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PS/G
1,Golden State Warriors*,82,19880,3489,7159,.487,1077,2592,.416,2412,4567,.528,1366,1790,.763,816,2972,3788,2373,689,498,1245,1701,9421,114.9
2,Oklahoma City Thunder*,82,19830,3372,7082,.476,678,1945,.349,2694,5137,.524,1616,2067,.782,1071,2916,3987,1883,603,487,1305,1691,9038,110.2
3,Sacramento Kings,82,19805,3283,7083,.464,660,1839,.359,2623,5244,.500,1514,2089,.725,868,2760,3628,2009,733,368,1326,1676,8740,106.6
4,Houston Rockets*,82,19830,3094,6847,.452,878,2533,.347,2216,4314,.514,1671,2407,.694,930,2601,3531,1821,821,430,1307,1790,8737,106.5
5,Boston Celtics*,82,19780,3216,7318,.439,717,2142,.335,2499,5176,.483,1520,1929,.788,950,2733,3683,1981,752,348,1127,1796,8669,105.7
6,Portland Trail Blazers*,82,19805,3167,7040,.450,864,2336,.370,2303,4704,.490,1424,1889,.754,948,2782,3730,1748,562,380,1200,1782,8622,105.1
7,Los Angeles Clippers*,82,19830,3141,6759,.465,797,2190,.364,2344,4569,.513,1490,2152,.692,721,2727,3448,1873,709,460,1063,1746,8569,104.5
8,Cleveland Cavaliers*,82,19855,3171,6888,.460,880,2428,.362,2291,4460,.514,1333,1783,.748,873,2777,3650,1861,551,317,1114,1666,8555,104.3
9,Washington Wizards,82,19755,3238,7033,.460,709,1983,.358,2529,5050,.501,1349,1849,.730,743,2688,3431,2005,708,323,1186,1708,8534,104.1
10,San Antonio Spurs*,82,19705,3289,6797,.484,570,1518,.375,2719,5279,.515,1342,1672,.803,770,2831,3601,2010,677,485,1071,1433,8490,103.5
11,Charlotte Hornets*,82,19855,3036,6922,.439,873,2410,.362,2163,4512,.479,1534,1941,.790,734,2869,3603,1778,595,438,1030,1487,8479,103.4
12,Atlanta Hawks*,82,19830,3168,6923,.458,815,2326,.350,2353,4597,.512,1282,1638,.783,679,2772,3451,2100,747,486,1226,1570,8433,102.8
13,Toronto Raptors*,82,19780,3006,6669,.451,708,1915,.370,2298,4754,.483,1702,2190,.777,836,2724,3560,1536,636,449,1073,1610,8422,102.7
14,New Orleans Pelicans,82,19780,3153,7040,.448,702,1951,.360,2451,5089,.482,1415,1823,.776,782,2712,3494,1818,633,342,1102,1713,8423,102.7
15,Minnesota Timberwolves,82,19880,3095,6668,.464,455,1347,.338,2640,5321,.496,1753,2213,.792,821,2587,3408,1916,656,375,1231,1696,8398,102.4
16,Dallas Mavericks*,82,20005,3064,6900,.444,806,2342,.344,2258,4558,.495,1454,1831,.794,751,2781,3532,1813,560,306,1047,1595,8388,102.3
17,Indiana Pacers*,82,19880,3142,6985,.450,663,1889,.351,2479,5096,.486,1430,1872,.764,847,2779,3626,1741,742,391,1219,1641,8377,102.2
18,Orlando Magic,82,19905,3242,7120,.455,636,1818,.350,2606,5302,.492,1249,1649,.757,843,2709,3552,1933,673,417,1155,1701,8369,102.1
19,Detroit Pistons*,82,19880,3111,7087,.439,740,2148,.345,2371,4939,.480,1399,2095,.668,1021,2777,3798,1594,573,304,1110,1557,8361,102.0
20,Denver Nuggets,82,19830,3093,7003,.442,656,1943,.338,2437,5060,.482,1513,1974,.766,941,2718,3659,1858,609,395,1202,1723,8355,101.9
21,Chicago Bulls,82,19905,3165,7170,.441,651,1753,.371,2514,5417,.464,1354,1720,.787,907,2889,3796,1870,495,470,1141,1545,8335,101.6
22,Phoenix Suns,82,19705,3051,7018,.435,738,2118,.348,2313,4900,.472,1431,1905,.751,943,2733,3676,1701,632,313,1410,1858,8271,100.9
23,Miami Heat*,82,19830,3150,6697,.470,498,1480,.336,2652,5217,.508,1406,1889,.744,807,2811,3618,1709,553,531,1155,1502,8204,100.0
24,Memphis Grizzlies*,82,19830,3019,6859,.440,504,1521,.331,2515,5338,.471,1584,2024,.783,916,2497,3413,1697,724,350,1090,1783,8126,99.1
25,Milwaukee Bucks,82,19830,3145,6740,.467,440,1277,.345,2705,5463,.495,1392,1863,.747,858,2559,3417,1895,672,475,1247,1695,8122,99.0
26,Brooklyn Nets,82,19755,3136,6920,.453,531,1508,.352,2605,5412,.481,1286,1699,.757,863,2614,3477,1829,627,332,1212,1476,8089,98.6
27,New York Knicks,82,19805,3022,6886,.439,610,1762,.346,2412,5124,.471,1411,1753,.805,850,2788,3638,1682,467,466,1099,1616,8065,98.4
28,Utah Jazz,82,19955,2957,6593,.449,694,1956,.355,2263,4637,.488,1402,1885,.744,880,2665,3545,1555,631,425,1224,1655,8010,97.7
29,Philadelphia 76ers,82,19805,2970,6887,.431,764,2255,.339,2206,4632,.476,1284,1850,.694,777,2605,3382,1765,680,495,1343,1780,7988,97.4
30,Los Angeles Lakers,82,19730,2880,6956,.414,639,2016,.317,2241,4940,.454,1583,2028,.781,878,2645,3523,1478,593,337,1124,1662,7982,97.3