Income Percentile,Pre-Tax Growth Perc,Post-Tax Growth Perc,Average Growth Perc
10,-0.555235191,0.258658502,1.407306353
11,-0.448539692,0.300822564,1.407306353
12,-0.368596028,0.336979481,1.407306353
13,-0.33040501,0.371978092,1.407306353
14,-0.282674568,0.404172083,1.407306353
15,-0.245045734,0.419529146,1.407306353
16,-0.199171782,0.43937937,1.407306353
17,-0.154128247,0.462272148,1.407306353
18,-0.118397204,0.473612424,1.407306353
19,-0.088628539,0.480110612,1.407306353
20,-0.056473862,0.4950091,1.407306353
21,-0.036489105,0.501852333,1.407306353
22,-0.017918657,0.513834572,1.407306353
23,-0.005334881,0.521157368,1.407306353
24,0.0056596,0.522006,1.407306353
25,0.018194254,0.530723431,1.407306353
26,0.028162365,0.540197505,1.407306353
27,0.040460939,0.554151638,1.407306353
28,0.060616459,0.567631489,1.407306353
29,0.079754859,0.58032565,1.407306353
30,0.08782802,0.594682488,1.407306353
31,0.08804509,0.603705773,1.407306353
32,0.102716268,0.61611842,1.407306353
33,0.115324521,0.633175656,1.407306353
34,0.13535416,0.6487403,1.407306353
35,0.157461537,0.666711501,1.407306353
36,0.166169693,0.686276616,1.407306353
37,0.182288073,0.700121955,1.407306353
38,0.200266348,0.717218589,1.407306353
39,0.22195584,0.732533315,1.407306353
40,0.242270658,0.746707814,1.407306353
41,0.267097078,0.762229946,1.407306353
42,0.292829175,0.777229444,1.407306353
43,0.314934138,0.79428193,1.407306353
44,0.339260371,0.807572449,1.407306353
45,0.365802274,0.821921032,1.407306353
46,0.397292017,0.83870141,1.407306353
47,0.431115814,0.855116749,1.407306353
48,0.456529689,0.869826823,1.407306353
49,0.483661447,0.887639092,1.407306353
50,0.506684284,0.905385043,1.407306353
51,0.530236257,0.919477773,1.407306353
52,0.552701237,0.932143245,1.407306353
53,0.580037514,0.946485696,1.407306353
54,0.606340118,0.960874103,1.407306353
55,0.630593432,0.976724125,1.407306353
56,0.65889406,0.986727725,1.407306353
57,0.685807767,0.996768189,1.407306353
58,0.709727198,1.008897178,1.407306353
59,0.728851262,1.020769309,1.407306353
60,0.748638877,1.03665801,1.407306353
61,0.771659073,1.047937889,1.407306353
62,0.792728463,1.059464115,1.407306353
63,0.813219505,1.069337647,1.407306353
64,0.834103008,1.079179731,1.407306353
65,0.854628174,1.088998323,1.407306353
66,0.876286666,1.097954831,1.407306353
67,0.897644279,1.106274773,1.407306353
68,0.914953724,1.115359752,1.407306353
69,0.932870446,1.123421364,1.407306353
70,0.949366815,1.134456713,1.407306353
71,0.966941436,1.149257177,1.407306353
72,0.983962546,1.163225361,1.407306353
73,1.003729049,1.178214358,1.407306353
74,1.028326302,1.192290935,1.407306353
75,1.052497632,1.209076411,1.407306353
76,1.074197565,1.225561951,1.407306353
77,1.101523307,1.240850644,1.407306353
78,1.135041267,1.25698298,1.407306353
79,1.161633905,1.274481834,1.407306353
80,1.19332026,1.293859905,1.407306353
81,1.224447667,1.309448071,1.407306353
82,1.252038183,1.324598933,1.407306353
83,1.278083726,1.339073775,1.407306353
84,1.302773169,1.355952364,1.407306353
85,1.329366458,1.368972847,1.407306353
86,1.359043535,1.386575657,1.407306353
87,1.388998613,1.405647869,1.407306353
88,1.420918666,1.42991148,1.407306353
89,1.4582352,1.453108895,1.407306353
90,1.489218642,1.47780742,1.407306353
91,1.523446327,1.507763898,1.407306353
92,1.558901823,1.533913985,1.407306353
93,1.602322121,1.572758144,1.407306353
94,1.662395873,1.613402615,1.407306353
95,1.730230403,1.665551911,1.407306353
96,1.81186932,1.74379244,1.407306353
97,1.952190084,1.86315033,1.407306353
98,2.166742536,2.10457189,1.407306353
99,2.30170485,2.293082978,1.407306353
99,2.30170485,2.293082978,1.407306353
99.1,2.348947764,2.337719692,1.407306353
99.2,2.411535203,2.388943776,1.407306353
99.3,2.471394181,2.45990436,1.407306353
99.4,2.541267859,2.534422294,1.407306353
99.5,2.61850802,2.619491457,1.407306353
99.6,2.710388022,2.716843639,1.407306353
99.7,2.865759204,2.840292858,1.407306353
99.8,3.115915626,3.058312184,1.407306353
99.9,3.313752077,3.240727557,1.407306353
99.9,3.313752077,3.240727557,1.407306353
99.91,3.368573473,3.286713747,1.407306353
99.92,3.434517333,3.320632477,1.407306353
99.93,3.501150639,3.367245604,1.407306353
99.94,3.572885007,3.451261667,1.407306353
99.95,3.645972676,3.524638078,1.407306353
99.96,3.774731741,3.62802281,1.407306353
99.97,3.91830071,3.747705553,1.407306353
99.98,4.125568626,3.930777748,1.407306353
99.99,4.276080314,4.035771422,1.407306353
99.99,4.276080314,4.035771422,1.407306353
99.991,4.301403912,4.090963887,1.407306353
99.992,4.343335751,4.136613437,1.407306353
99.993,4.393044677,4.160085909,1.407306353
99.994,4.432388443,4.216229651,1.407306353
99.995,4.523256565,4.321385924,1.407306353
99.996,4.663437769,4.431763451,1.407306353
99.997,4.813388087,4.56557249,1.407306353
99.998,4.946211918,4.773769093,1.407306353
99.999,6.045533795,5.962479024,1.407306353